model,episode,return,final_state_norm,final_action_norm
fixed_linear_manual_k,0,-742.8679997409884,0.5638607740402222,1.2469621896743774
residual,0,-622.1490316544194,0.1303166002035141,0.40066951513290405
fixed_linear_manual_k,1,-671.1173347602789,0.450824111700058,1.5106573104858398
residual,1,-670.1992112880671,0.199760302901268,0.3536781966686249
fixed_linear_manual_k,2,-616.3848621550386,0.518069326877594,0.7350994348526001
residual,2,-486.3429120826809,0.150991752743721,0.37783801555633545
fixed_linear_manual_k,3,-1596.3472176501155,1.0095134973526,1.3350054025650024
residual,3,-1220.8547729377456,0.3248468041419983,0.6100544333457947
fixed_linear_manual_k,4,-818.1841540581731,0.7176061868667603,0.9335853457450867
residual,4,-569.5624559528017,0.11542254686355591,0.3235573470592499
fixed_linear_manual_k,5,-313.4777811588907,0.33441558480262756,0.6181392073631287
residual,5,-256.1964991294035,0.1196848526597023,0.35030099749565125
fixed_linear_manual_k,6,-713.5404958695178,0.6198352575302124,0.9840522408485413
residual,6,-560.6469589888395,0.22769533097743988,0.6258169412612915
fixed_linear_manual_k,7,-482.54648070529555,0.46694856882095337,0.8923833966255188
residual,7,-378.9672105572465,0.13134905695915222,0.331886351108551
fixed_linear_manual_k,8,-499.6727522692831,0.5007909536361694,0.6089922189712524
residual,8,-363.08608250925306,0.1464308202266693,0.41533926129341125
fixed_linear_manual_k,9,-862.7384590006614,0.6026180982589722,1.1437307596206665
residual,9,-744.176874425635,0.220906600356102,0.5196390748023987
fixed_linear_manual_k,10,-385.40198260922,0.37500065565109253,0.6377687454223633
residual,10,-348.59772884642695,0.23378071188926697,0.42589834332466125
fixed_linear_manual_k,11,-519.4640289126334,0.4669868052005768,0.7287244200706482
residual,11,-424.76588420620186,0.1737530529499054,0.3870893120765686
fixed_linear_manual_k,12,-812.5730096222462,0.6886666417121887,0.722718358039856
residual,12,-613.6482771193233,0.27693381905555725,0.6948239803314209
fixed_linear_manual_k,13,-890.426338900254,0.6229494214057922,1.2676206827163696
residual,13,-743.9067062977638,0.22496984899044037,0.5393591523170471
fixed_linear_manual_k,14,-301.6770092549359,0.36669471859931946,0.6030668616294861
residual,14,-225.43240993041312,0.11074861139059067,0.32309627532958984
fixed_linear_manual_k,15,-641.1091074894373,0.4782785475254059,1.2149829864501953
residual,15,-606.7902676109594,0.20983929932117462,0.3084738254547119
fixed_linear_manual_k,16,-814.4813833643487,0.6300156712532043,0.7366868257522583
residual,16,-640.0462196909917,0.2854297459125519,0.6347880363464355
fixed_linear_manual_k,17,-294.3604900933989,0.400389701128006,0.37704047560691833
residual,17,-215.60602028069087,0.07793037593364716,0.2682535946369171
fixed_linear_manual_k,18,-1038.3765536012118,0.7857562303543091,0.8213698863983154
residual,18,-861.9056530969591,0.46876922249794006,0.7128733992576599
fixed_linear_manual_k,19,-1100.8260319712758,0.8263739943504333,0.9191892743110657
residual,19,-753.1165967561498,0.22682300209999084,0.6419970393180847
