model,episode,return,final_state_norm,final_action_norm
fixed_linear_stored_k,0,-12480.709659323104,8.61535930633545,4.172870635986328
residual,0,-11420.83220071136,7.618483066558838,10.474717140197754
fixed_linear_stored_k,1,-14070.572758156664,7.354093551635742,4.436705112457275
residual,1,-12581.227757799623,7.553140640258789,2.846451759338379
fixed_linear_stored_k,2,-12519.525041758423,8.077725410461426,14.63135051727295
residual,2,-10979.60311620116,7.586766719818115,13.702149391174316
fixed_linear_stored_k,3,-12915.877493216401,7.550355434417725,15.327771186828613
residual,3,-11499.577087170928,6.907285213470459,13.447159767150879
fixed_linear_stored_k,4,-12516.94899389804,7.688708305358887,8.463289260864258
residual,4,-11371.03953283369,7.701395034790039,10.00979995727539
fixed_linear_stored_k,5,-11553.033179234264,7.402000904083252,12.342656135559082
residual,5,-9982.448556175232,7.527429580688477,13.26240062713623
fixed_linear_stored_k,6,-12503.762788739805,8.29322338104248,15.853849411010742
residual,6,-11066.514890717266,7.466484069824219,13.700905799865723
fixed_linear_stored_k,7,-14176.634902244808,8.420632362365723,7.447648048400879
residual,7,-11062.759184471965,6.588332653045654,5.360198020935059
fixed_linear_stored_k,8,-12169.762011721732,7.748913764953613,13.781169891357422
residual,8,-10701.32414112866,7.518777847290039,13.095934867858887
fixed_linear_stored_k,9,-12997.331522885566,8.388310432434082,12.233195304870605
residual,9,-11841.55034562289,7.801240921020508,10.728100776672363
fixed_linear_stored_k,10,-15334.747956768271,9.014187812805176,7.631742477416992
residual,10,-11666.598917025034,7.5974931716918945,5.0346999168396
fixed_linear_stored_k,11,-13988.801482903951,9.326464653015137,5.669031143188477
residual,11,-11226.612132098375,8.096280097961426,2.910461187362671
fixed_linear_stored_k,12,-12202.861676666738,6.751430988311768,13.147662162780762
residual,12,-10755.441138434411,6.510666847229004,12.00524616241455
fixed_linear_stored_k,13,-12969.405382829309,7.556577205657959,11.455277442932129
residual,13,-11603.548396980164,7.029588222503662,10.623329162597656
fixed_linear_stored_k,14,-12021.987302973272,7.052929401397705,13.40058422088623
residual,14,-10452.845218313636,6.815252780914307,12.267765045166016
fixed_linear_stored_k,15,-13853.038945339622,6.968344211578369,4.532970428466797
residual,15,-12231.728598039437,7.8793816566467285,2.081130266189575
fixed_linear_stored_k,16,-12414.34685937047,7.661208629608154,13.444931983947754
residual,16,-11017.11347669601,7.029298305511475,12.28978157043457
fixed_linear_stored_k,17,-15191.774605759387,9.64851188659668,8.388242721557617
residual,17,-11876.20291460753,8.615811347961426,4.076854228973389
fixed_linear_stored_k,18,-12281.058402670917,7.536427974700928,14.10216999053955
residual,18,-10926.647332026363,7.158942699432373,12.827003479003906
fixed_linear_stored_k,19,-12943.28315229565,8.339672088623047,16.43939971923828
residual,19,-11461.609389973584,7.545790672302246,14.354134559631348
