model,episode,return,final_state_norm,final_action_norm
fixed_linear,0,-748.029825839624,0.22589488327503204,0.6668236255645752
residual,0,-696.9097287477551,0.3252839744091034,0.9319821000099182
fixed_linear,1,-677.0157342556874,0.24514593183994293,0.5831971764564514
residual,1,-655.1795899837548,0.2057085633277893,0.34535324573516846
fixed_linear,2,-619.6861262494889,0.17826811969280243,0.6917152404785156
residual,2,-536.6361042060701,0.2661825120449066,0.5987741351127625
fixed_linear,3,-1609.1248580774668,0.38936716318130493,1.3950859308242798
residual,3,-1287.7627077826858,0.3851644992828369,0.9968646168708801
fixed_linear,4,-824.7197023458775,0.2685161530971527,0.8954486846923828
residual,4,-690.2471509575097,0.23484160006046295,0.44741731882095337
fixed_linear,5,-315.03480057655827,0.12868355214595795,0.4275609850883484
residual,5,-282.5844191777427,0.2524399161338806,0.7033191919326782
fixed_linear,6,-719.0914583717292,0.24403567612171173,0.9255644679069519
residual,6,-562.2600195442518,0.2088734209537506,0.46921154856681824
fixed_linear,7,-485.8412764319826,0.200374037027359,0.6825050711631775
residual,7,-437.56890228344173,0.196109801530838,0.4538757801055908
fixed_linear,8,-502.51182961249737,0.16567671298980713,0.657486081123352
residual,8,-427.60036199700073,0.3230513632297516,0.8436316251754761
fixed_linear,9,-868.3228599155311,0.22936953604221344,0.8153682351112366
residual,9,-835.6705350856106,0.28010547161102295,0.25885409116744995
fixed_linear,10,-387.32489032134424,0.1372557282447815,0.49451392889022827
residual,10,-343.07568329459065,0.2950305640697479,0.8685702085494995
fixed_linear,11,-522.2940917521341,0.1652679741382599,0.621009886264801
residual,11,-458.8841264697719,0.28459644317626953,0.8427250385284424
fixed_linear,12,-817.9821400297429,0.23816168308258057,0.9073251485824585
residual,12,-623.9410181397379,0.1734904646873474,0.1691283881664276
fixed_linear,13,-896.3479831546555,0.24092979729175568,0.771765947341919
residual,13,-793.3948835053291,0.41134095191955566,1.3178776502609253
fixed_linear,14,-303.4904531248776,0.14938829839229584,0.5259803533554077
residual,14,-262.6472224746459,0.21701812744140625,0.6125996708869934
fixed_linear,15,-645.676245732606,0.2207832634449005,0.5655319094657898
residual,15,-586.1031309454513,0.19772416353225708,0.21309521794319153
fixed_linear,16,-819.0367045820118,0.22459739446640015,0.7951385378837585
residual,16,-672.7285155079745,0.36396294832229614,0.988969624042511
fixed_linear,17,-296.27674243518373,0.1281583309173584,0.5781003832817078
residual,17,-292.5567927716019,0.33367079496383667,0.9423882365226746
fixed_linear,18,-1045.3150018288172,0.26489314436912537,1.1135849952697754
residual,18,-832.8875094204394,0.31084057688713074,0.9156414866447449
fixed_linear,19,-1108.5996261926732,0.30320021510124207,1.0807117223739624
residual,19,-899.7921546760948,0.4102558493614197,1.2136104106903076
